course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Chemical Engineering,TKM,"T K M College of Engineering, Kollam.",G,6708,8406,7439,12253,18691,9603,8141,11203,-,32443,30078,-,-,"FW:4597, PD:52803, RP:28860",9
Chemical Engineering,AJC,"Amal Jyothi College of Engineering, Kottayam",S,19556,25469,21775,-,30106,56531,31007,-,-,-,41662,-,-,"FW:13735, YB:51854",9
Chemical Engineering,MGP,"Saintgits College of Engineering, Kottayam",S,27947,29616,29613,59421,-,-,36309,-,-,-,51939,-,-,FW:14556,9
Chemical Engineering,MLM,"Mangalam College of Engineering, Kottayam",S,41882,50520,43004,-,-,-,-,-,-,-,59720,-,-,FW:27502,9
Chemical Engineering,TCE,"TOMS College of Engineering,Kottayam",S,51059,-,63788,-,53709,55838,51739,-,-,-,-,-,-,,9
Computer Science & Engineering (Data Science),MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,4624,5729,5267,9150,16034,6497,5939,24109,24018,21913,33514,60540,-,FW:3307,9
Computer Science & Engineering (Data Science),ADR,"College of Engineering, Adoor",N,23671,28253,25140,29491,55938,25783,32870,-,-,-,37487,-,30253,"FW:16194, MG:51159",9
Computer Science & Engineering (Data Science),TKR,"College of Engineering, Trikaripur",N,43312,48967,46817,-,-,59051,44508,-,50564,-,60339,-,62715,FW:13137,9
Computer Science & Engineering (Data Science),ASI,"Adi Shankara Institute of Engineering and Technology, Ernakulam",S,25420,25867,26602,-,-,-,-,-,-,46611,51236,-,38997,FW:25646,9
Computer Science & Engineering (Data Science),BJK,"Bishop Jerome Institute, Kollam",S,54673,57722,59749,-,-,-,-,-,-,-,-,-,-,"FW:27177, YC:57311",9
Computer Science & Engineering (Data Science),CCE,"Christ College of Engineering, Thrissur",S,24755,29692,31604,63857,-,-,39216,-,-,48714,50797,-,-,FW:19241,9
Computer Science & Engineering (Data Science),CEN,"College of Engineering and Technology, Payyannur, Kannur.",S,63284,-,-,-,-,-,-,-,-,-,-,-,-,FW:50756,9
Computer Science & Engineering (Data Science),HGW,"Holy Grace Academy of Engineering, Thrissur",S,63892,-,-,-,-,-,-,-,-,-,-,-,-,,10
Computer Science & Engineering (Data Science),IES,"I E S College of Engineering, Thrissur",S,63629,-,-,-,-,-,-,-,-,-,-,-,-,FW:38377,10
Computer Science & Engineering (Data Science),JCE,"Jawaharlal College of Engineering and Technology, Palakkad",S,45003,52939,47074,-,-,-,51144,-,-,-,58819,-,-,FW:29171,10
Computer Science & Engineering (Data Science),MBI,"Mar Baselios Institute of Technology and Science, Ernakulam",S,40218,51737,49624,-,57718,53519,43775,-,-,-,-,-,-,"FW:31442, YH:54967",10
Computer Science & Engineering (Data Science),SCM,"SCMS School of Engineering and Technology, Ernakulam",S,22732,24431,23446,24933,30777,29737,23202,-,-,-,60326,-,36124,FW:16278,10
Computer Science & Engineering (Data Science),SNP,"Sree Narayana Institute of Technology, Adoor",S,57675,-,-,-,-,-,-,-,-,-,-,-,-,FW:50892,10
Computer Science & Engineering (Data Science),STC,"St Thomas Colllege of Engineering and Technology, Alappuzha",S,63810,-,-,-,-,-,-,-,-,-,-,-,-,,10
Computer Science & Engineering (Data Science),STI,"St. Thomas Institute For Science and Technology, Thiruvananthapuram",S,62176,64850,64930,-,-,-,-,-,-,-,-,-,-,FW:36135,10
Computer Science & Engineering (Data Science),STM,"St.Thomas College of Engineering and Technology,Kannur",S,52114,58330,65202,-,-,-,54197,-,-,-,-,-,63924,FW:38148,10
Computer Science & Engineering (Data Science),TCT,"Trinity College of Engineering, Thiruvananthapuram",S,64332,-,-,-,-,-,-,-,-,-,-,-,-,,10
Computer Science & Engineering (Data Science),UKP,"UKF College of Engineering and Technology, Kollam",S,58226,64718,-,-,-,-,-,-,-,-,-,-,-,FW:37786,10
Computer Science & Engineering (Data Science),VIT,"VISAT Engineering College, Ernakulam",S,65189,-,-,-,-,-,-,-,-,-,-,-,-,FW:54695,10
Computer Science & Engineering (Data Science),VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",S,51534,-,-,-,-,-,-,-,-,-,-,-,-,,10
